source,correction,domain
"> Замечание: составляя набор исходных комплектор ресурсов для сжатия, следует избегать использования таких, чьи параметры","> Замечание: составляя набор исходных комплектов ресурсов для сжатия, следует избегать использования таких, чьи параметры",GitHubTypoCorpusRu
"Разкомментируйте, если не хотите, чтобы iOS и WinMobile сами оптимизировали ","Раcкомментируйте, если не хотите, чтобы iOS и WinMobile сами оптимизировали ",GitHubTypoCorpusRu
"Однако мы не возвращаем значение. Когда мы не возвращаем значение из функции, функция возвращает значение `undefined`. Для каждого элемента в массиве вызывается функциональный блок, поэтому для каждого элемента мы возвращаем ""undefined"".","Однако мы не возвращаем значение. Когда мы не возвращаем значение из функции, функция возвращает значение `undefined`. Для каждого элемента в массиве вызывается функциональный блок, поэтому для каждого элемента мы возвращаем `undefined`.",GitHubTypoCorpusRu
"msgstr ""файл невозможно открытым.""","msgstr ""файл невозможно открыть.""",GitHubTypoCorpusRu
Версии именуются согласо [Semantic Versioning 2.0.0](http://semver.org/).,Версии именуются согласно [Semantic Versioning 2.0.0](http://semver.org/).,GitHubTypoCorpusRu
"Хорошо, хорошо. Но недобно же набирать каждый раз, когда он может понадобиться, не так ли?","Хорошо, хорошо. Но неудобно же набирать каждый раз, когда он может понадобиться, не так ли?",GitHubTypoCorpusRu
  - Недостатки: время ожидания квартиры в зависимости от фирмы и района может быть достаточно долгим Wohnungsgenossenschaftenв Берлине [здесь](http://www.berlin.de/special/immobilien-und-wohnen/adressen/wohnungsbaugenossenschaft/),  - Недостатки: время ожидания квартиры в зависимости от фирмы и района может быть достаточно долгим Wohnungsgenossenschaften в Берлине [здесь](http://www.berlin.de/special/immobilien-und-wohnen/adressen/wohnungsbaugenossenschaft/),GitHubTypoCorpusRu
"    ""clipboardError"": ""Ошибка. Скорее всего ваш браузер не поодерживает данную функциональность"",","    ""clipboardError"": ""Ошибка. Скорее всего ваш браузер не поддерживает данную функциональность"",",GitHubTypoCorpusRu
"Перенаправление рефов позволяет автоматически передавать [реф](/docs/refs-and-the-dom.html) компонента одному из его дочерних элементов. Большинству компонентов перенаправление рефов не нужно, но оно может быть полезно, если вы пишите библиотеку, и в некоторых других случаях. Рассмотрим наиболее частые сценарии.","Перенаправление рефов позволяет автоматически передавать [реф](/docs/refs-and-the-dom.html) компонента одному из его дочерних элементов. Большинству компонентов перенаправление рефов не нужно, но оно может быть полезно, если вы пишете библиотеку, и в некоторых других случаях. Рассмотрим наиболее частые сценарии.",GitHubTypoCorpusRu
"              ""*Перейди в ветку с именем \""master\"" в моём локальном репозитории, возьми все коммиты, и затем перейди на ветку \""master\"" на удалённом репозитории \""origin.\"". На этоу удалённую ветку скопируй все отсутствующие коммиты, которые есть у меня, и скажи, когда ты закончишь.*"",","              ""*Перейди в ветку с именем \""master\"" в моём локальном репозитории, возьми все коммиты, и затем перейди на ветку \""master\"" на удалённом репозитории \""origin.\"". На эту удалённую ветку скопируй все отсутствующие коммиты, которые есть у меня, и скажи, когда ты закончишь.*"",",GitHubTypoCorpusRu
"        ""Публичное ккционерное общество"",","        ""Публичное акционерное общество"",",GitHubTypoCorpusRu
Для кэширование  фрагментов используйте следующий код в [представлении](structure-views.md):,Для кэширования фрагментов используйте следующий код в [представлении](structure-views.md):,GitHubTypoCorpusRu
\section{Еще один подраздер приложения} \label{AppendixB2},\section{Ещё один подраздел приложения} \label{AppendixB2},GitHubTypoCorpusRu
"Таким образом можно управлять несколькими классами, добавляя в объект дополнительные поля. Кроме того, `v-bind:class` можно использовать и совместно и с обычным атрибутом `class`:","Таким образом можно управлять несколькими классами, добавляя в объект дополнительные поля. Кроме того, `v-bind:class` можно использовать и совместно с обычным атрибутом `class`:",GitHubTypoCorpusRu
"<p class=""tip"">НЕ импортируйте Vue через `import Vue from 'vue/dist/vue.js'` - так как некоторые инструменты и сторонние библиотеки могут также импортировать Vue, такая запись может результировать в одновременной загрузке runtime и standalone-версий Vue и привести к ошибкам.</p>","<p class=""tip"">НЕ импортируйте Vue через `import Vue from 'vue/dist/vue.js'` - так как некоторые инструменты и сторонние библиотеки могут также импортировать Vue, такая запись может стать причиной одновременной загрузки runtime и standalone-версий Vue и привести к ошибкам.</p>",GitHubTypoCorpusRu
"        less_than: ""может иметь значение меньше чем {{count}}""","        less_than: ""может иметь значение меньшее чем {{count}}""",GitHubTypoCorpusRu
"Если у вас python 2.7.6, то команда `python setup.py install` выполнится с ошибкой из-за бага в версии python 27.6. Вам нужно удалить Python версии 2.7.6 и установить версию 2.7.5","Если у вас python 2.7.6, то команда `python setup.py install` выполнится с ошибкой из-за бага в версии python 2.7.6. Вам нужно удалить Python версии 2.7.6 и установить версию 2.7.5",GitHubTypoCorpusRu
"Имейте в виду, что если вызывается `render` с неизместным символом, статус отклика будет по умолчанию 500.","Имейте в виду, что если вызывается `render` с неизвестным символом, статус отклика будет по умолчанию 500.",GitHubTypoCorpusRu
