source,correction,domain
Нефрэктомия слева по поводу инфицированного гидронефроза в 2010 г.   Гинекологический анамнез:  Роды: 0   Наследственность:  заболевания у родственников мать: онкология ЖКТ   Страховой анамнез:  не работает; больничный лист нет   Аллергологический анамнез  : аллергия на: медикаменты новокаин: отек Квинке   Вредные привычки:  отрицает   Условия труда  : интеллектуальный труд   Профессиональные вредности  отрицает   Образ жизни  : активный образ жизни,Нефрэктомия слева по поводу инфицированного гидронефроза в 2010 г. Гинекологический анамнез: роды: 0. Наследственность: заболевания у родственников: мать: онкология ЖКТ. Страховой анамнез: не работает; больничный лист - нет. Аллергологический анамнез: аллергия на: медикаменты - новокаин: отёк Квинке. Вредные привычки: отрицает. Условия труда: интеллектуальный труд. Профессиональные вредности отрицает. Образ жизни: активный образ жизни.,MedSpellChecker
ОМНК 2010 с левосторонним гемиперазом- с полным регрессом,ОМНК 2010 с левосторонним гемипарезом – с полным регрессом,MedSpellChecker
"Перенесенные состояния:  операции: варикоцеле в 18 лет Аппендэктомия: в 8 лет  Респираторные заболевания   Наследственность:  заболевания у родственников брат: ИБС ОИМ   Страховой анамнез:  работает; инвалидность нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день; алкоголь только по праздникам   Условия труда  : работает строителем, отдельщиком   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное; занятие спортом: в детстве","Перенесённые состояния:  операции: варикоцеле в 18 лет Аппендэктомия: в 8 лет  Респираторные заболевания   Наследственность:  заболевания у родственников брат: ИБС ОИМ   Страховой анамнез:  работает; инвалидность нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день; алкоголь только по праздникам   Условия труда  : работает строителем, отдельщиком   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное; занятие спортом: в детстве",MedSpellChecker
"Туберкулёзом, малярией, гепатиитом не болела","Туберкулёзом, малярией, гепатитом не болела",MedSpellChecker
Экстерпация матки с придатками (90-е годы,Экстирпация матки с придатками (90-е годы),MedSpellChecker
Страховой анамнез:  работает: больничный лист нужен      Аллергологический анамнез   : не отягощен,"Страховой анамнез: работает, больничный лист нужен. Аллергологический анамнез: не отягощён.",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; ИБС; остеохондроз позвоночника; гастрит хронический   Наследственность:  не отягощена   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает,Хронические заболевания в анамнезе  : ГБ; ИБС; остеохондроз позвоночника; гастрит хронический   Наследственность:  не отягощена   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает,MedSpellChecker
В течение 1 года традает СД 2 типа,В течение 1 года страдает СД 2 типа,MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; остеохондроз позвоночника; варикозная болезнь вен нижних конечностей; хроническая обструктивная болезнь легких: ХОБЛ,Хронические заболевания в анамнезе: ГБ; остеохондроз позвоночника; варикозная болезнь вен нижних конечностей; хроническая обструктивная болезнь лёгких: ХОБЛ,MedSpellChecker
Алкоголь 2раза в неделю в небольших количествах,Алкоголь 2 раза в неделю в небольших количествах,MedSpellChecker
огнестрельное ранение головы   Хронические заболевания в анамнезе  : ИБС; В 1993г,огнестрельное ранение головы   Хронические заболевания в анамнезе  : ИБС; В 1993 г,MedSpellChecker
хр.заболевания: хр.бронихт,хр. заболевания: хр. бронхит,MedSpellChecker
"Хронические заболевания в анамнезе  : хр бронхит, хр анемия лёгкой ст    Наследственность:  не отягощена    Страховой анамнез:  ; нужен б/л с 09.08.14    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение","Хронические заболевания в анамнезе  : хр бронхит, хр анемия лёгкой ст    Наследственность:  не отягощена    Страховой анамнез:  ; нужен б/л с 09.08.14    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение",MedSpellChecker
"Кровотечения, поерации в анамнезе отрицает","Кровотечения, операции в анамнезе отрицает",MedSpellChecker
заболевания легких и почек в анамнезе отрицает,заболевания лёгких и почек в анамнезе отрицает,MedSpellChecker
"Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет; дата выдачи больничного листа 02.11.2011   Аллергологический анамнез  : аллергия на: медикаменты препараты йода: крапивница   Вредные привычки:  курение не постоянно, в наст","Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет; дата выдачи больничного листа 02.11.2011   Аллергологический анамнез  : аллергия на: медикаменты препараты йода: крапивница   Вредные привычки:  курение не постоянно, в наст",MedSpellChecker
"Сопутствующий: Сахарный диабет, тип 2, на инсулинотерапии","Сопутствующий: Сахарный диабет, тип 2, на инсулинотерапии",MedSpellChecker
"Аллергологический анамнез  : аллергия на:: анальгин, сыть, отек Квинке","Аллергологический анамнез: аллергия на: анальгин, сыпь, отёк Квинке",MedSpellChecker
году; хроническая обструктивная болезнь легких   Наследственность:  не отягощена,году; хроническая обструктивная болезнь лёгких   Наследственность:  не отягощена,MedSpellChecker
"Наследственность:  заболевания у родственников отец: рак желудка, мать: онкология молочной железы    Страховой анамнез:  работает; больничный лист нужен; дата выдачи больничного листа 26.02.2015    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение стаж курения 40 лет до 4 пачек в день, не курит в ечение недели; алкоголь умеренно","Наследственность:  заболевания у родственников отец: рак желудка, мать: онкология молочной железы    Страховой анамнез:  работает; больничный лист нужен; дата выдачи больничного листа 26.02.2015    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение стаж курения 40 лет до 4 пачек в день, не курит в течение недели; алкоголь умеренно",MedSpellChecker
Перенесенные состояния:  операции: Секторальная резекция молочной железы,Перенесённые состояния:  операции: Секторальная резекция молочной железы,MedSpellChecker
Гинекологический анамнез:  Менопауза: хирургическая с 40 лет,Гинекологический анамнез:  Менопауза: хирургическая с 40 лет,MedSpellChecker
Киста яичка в 2013г,Киста яичка в 2013 г.,MedSpellChecker
Родился в г. Ленинград,Родился в г. Ленинград,MedSpellChecker
"Хронические заболевания в анамнезе  : варикозная болезнь вен нижних конечностей; гастрит хронический; прелом плечевой кости 1989г., металлоостеосинтез, хронический бронхит","Хронические заболевания в анамнезе  : варикозная болезнь вен нижних конечностей; гастрит хронический; прелом плечевой кости 1989г., металлоостеосинтез, хронический бронхит",MedSpellChecker
"Аллергический реакции - не отмечал Вредные привычки: не курит 20 лет, ранее курил 26 лет по 1-1,5 пачки сигарет в день, алкоголем не злоупотребляет Наследственность - не отягощена Перенесённые заболевания","Аллергические реакции - не отмечал. Вредные привычки: не курит 20 лет, ранее курил 26 лет по 1-1,5 пачки сигарет в день, алкоголем не злоупотребляет. Наследственность - не отягощена. Перенесённые заболевания",MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; ИБС; ХОБЛ, Хр","Хронические заболевания в анамнезе  : ГБ; ИБС; ХОБЛ, Хр",MedSpellChecker
"Наследственность: не изветсна  Страховой анамнез: б/л - не нужен  Аллергологический анамнез: отмечала на приём аспирина затруднение носового дыхания  Вредные привычки: не курит, алкоголем не злоупотребляет  Профессиональные вредности: контакт с ртутью (работа в метрополитене)  Образ жизни: бытовые условия удовлетворительные; питание регулярное  Перенесённые заболевания.Дегенеративно-дистрофическое заболевание позвоночника","Наследственность: не известна. Страховой анамнез: б/л – не нужен. Аллергологический анамнез: отмечала на приём аспирина затруднение носового дыхания. Вредные привычки: не курит, алкоголем не злоупотребляет. Профессиональные вредности: контакт с ртутью (работа в метрополитене). Образ жизни: бытовые условия удовлетворительные; питание регулярное. Перенесённые заболевания. Дегенеративно-дистрофическое заболевание позвоночника",MedSpellChecker
"Наследственность: не отягощена  Страховой анамнез: работает, б/л - 0  Аллергологический анамнез: не отмечал  Вредные привычки курит 30 лет по 40 сигарет/день,, алкоголем не злоупотребляет  Профессиональные вредности: нет  Образ жизни: бытовые условия удовлетворительные; питание регулярное; гиподинамия  Перенесённые заболевания","Наследственность: не отягощена. Страховой анамнез: работает, б/л – 0. Аллергологический анамнез: не отмечал. Вредные привычки курит 30 лет по 40 сигарет/день, алкоголем не злоупотребляет. Профессиональные вредности: нет. Образ жизни: бытовые условия удовлетворительные; питание регулярное; гиподинамия. Перенесённые заболевания",MedSpellChecker
"Наследственность:  не отягощена    Страховой анамнез:  не работает; инвалидность Iгруппа    Аллергологический анамнез  : без особенностей    Вредные привычки:  отрицает    Условия труда  : работала санитаркой в больнице, в коровнике в колхозе    Профессиональные вредности  отрицает    Образ жизни  : бытовые условия удовлетворительные; питание регулярное","Наследственность: не отягощена. Страховой анамнез: не работает; инвалидность: I группа. Аллергологический анамнез: без особенностей. Вредные привычки: отрицает. Условия труда: работала санитаркой в больнице, в коровнике в колхозе. Профессиональные вредности: отрицает. Образ жизни: бытовые условия удовлетворительные; питание регулярное",MedSpellChecker
Аллергологический анамнез - спокойный,Аллергологический анамнез - спокойный,MedSpellChecker
Перенесенные состояния:  операции: по поводу межпозвоночной грыжи - 2006г,Перенесённые состояния:  операции: по поводу межпозвоночной грыжи - 2006г,MedSpellChecker
"Вредные привычки: не курит, алкоголем не злоупотребляет","Вредные привычки: не курит, алкоголем не злоупотребляет",MedSpellChecker
инвалидсноть 2 группы,инвалидность 2 группы,MedSpellChecker
