source,correction,domain
очень классная тетка ктобы что не говорил.,очень классная тетка кто бы что ни говорил,RUSpellRU
Может выгоднее втулку продать и купить колесо в сборе?,Может выгоднее втулку продать и купить колесо в сборе,RUSpellRU
Довольно большая часть пришедших сходила с дорожек и усаживалась на траву.,Довольно большая часть пришедших сходила с дорожек и усаживалась на траву,RUSpellRU
"Симпатичнейшое шпионское устройство, такой себе гламурный фотоаппарат девушки Бонда - миниатюрная модель камеры Superheadz Clap Camera.",Симпатичнейшее шпионское устройство такой себе гламурный фотоаппарат девушки Бонда миниатюрная модель камеры Superheadz Clap Camera,RUSpellRU
Опофеозом дня для меня сегодня стала фраза услышанная в новостях:,Апофеозом дня для меня сегодня стала фраза услышанная в новостях,RUSpellRU
"Ну не было поста, так небыло!",Ну не было поста так не было,RUSpellRU
"Хотя странно, когда я забирала к себе на выходные старого кота, который живет у родителей, да и собаку в придачу, то такого концерта мой кот не устраивал.",Хотя странно когда я забирала к себе на выходные старого кота который живет у родителей да и собаку в придачу то такого концерта мой кот не устраивал,RUSpellRU
"Думаю, что лет через 10 ретроспективно просматривать это будет мне невероятно интересно.",Думаю что лет через 10 ретроспективно просматривать это будет мне невероятно интересно,RUSpellRU
"Зато я считаю, что это будет полезно и для меня и для всех тех, кто меня окружает, ведь когда расстаешься с человеком на какое-то время, то многое становится прозрачным, я имею ввиду мы начинаем понимать какое место в нашей повседневности занимает этот человек...",Зато я считаю что это будет полезно и для меня и для всех тех кто меня окружает ведь когда расстаешься с человеком на какое-то время то многое становится прозрачным я имею ввиду мы начинаем понимать какое место в нашей повседневности занимает этот человек,RUSpellRU
Пояним эту мысль.,Поясним эту мысль,RUSpellRU
"она прямо бурлит у меня в крови, тормошит какими-то советами, смотрит на меня из глаз моей дочки, что носит ее имя.",она прямо бурлит у меня в крови тормошит какими-то советами смотрит на меня из глаз моей дочки что носит ее имя,RUSpellRU
Полчатся вот такие язычки.,Получатся вот такие язычки,RUSpellRU
"Роспись была назначена на вторую половину дня, поэтому время на прогулку и фотосессию было ограничено.",Роспись была назначена на вторую половину дня поэтому время на прогулку и фотосессию было ограничено,RUSpellRU
Иногда мне сложно понять: как можно не любить своего ребенка.,Иногда мне сложно понять как можно не любить своего ребенка,RUSpellRU
в массе своей они конечно все оччччень милые ),в массе своей они конечно все очень милые,RUSpellRU
Нащщот Чавеса разве что не соглашусь.,Насчет Чавеса разве что не соглашусь,RUSpellRU
"Нужно просто захотеть что-то сделать ради того, чтобы все стало так, как того хочется тебе.",Нужно просто захотеть что-то сделать ради того чтобы все стало так как того хочется тебе,RUSpellRU
"Многие сетуют на отсуствие "" живого взаимодействия между учеником и учителем "" - а в чем оно по сути?",Многие сетуют на отсутствие живого взаимодействия между учеником и учителем а в чем оно по сути,RUSpellRU
"Основая цель мероприятия - практическая отработка навыков по оказанию помощи гражданам, попавшим в ДТП, а также повышение и совершенствование уровня профессиональной подготовки сотрудников МЧС при проведении аварийно-спасательных работ по ликвидации последствий дорожно-транспортных происшествий, сокращение временных показателей реагирования.",Основная цель мероприятия практическая отработка навыков по оказанию помощи гражданам попавшим в ДТП а также повышение и совершенствование уровня профессиональной подготовки сотрудников МЧС при проведении аварийно-спасательных работ по ликвидации последствий дорожно-транспортных происшествий сокращение временных показателей реагирования,RUSpellRU
Нарасно выброшенные деньги на билет в кинотеатр.,Напрасно выброшенные деньги на билет в кинотеатр,RUSpellRU
"А теперь я пойду профилактически рыдать в ванную, как все толстые неудачницы.",А теперь я пойду профилактически рыдать в ванную как все толстые неудачницы,RUSpellRU
вобщем как вы знаете из моего не давнего поста я жаловался на пропажу писем с моего ящека на почте.ру,в общем как вы знаете из моего недавнего поста я жаловался на пропажу писем с моего ящика на почте.ру,RUSpellRU
"Предлагю поиграть в детскую игру "" Ассоциации "".",Предлагаю поиграть в детскую игру Ассоциации,RUSpellRU
Сегодяшнее утро выдалось просто волшебным.,Сегодняшнее утро выдалось просто волшебным,RUSpellRU
"хороше что на выходгых не было стен, только деревья да ручьи...",хорошо что на выходных не было стен только деревья да ручьи,RUSpellRU
"Было тяжело, переводил беседу карабахский армянин.",Было тяжело переводил беседу карабахский армянин,RUSpellRU
"она сама придумала образ, и как бы небыло, думаю ей удалось передать атмосферу...",она сама придумала образ и как бы ни было думаю ей удалось передать атмосферу,RUSpellRU
"А Рите снятся сны, в которых меня убивают, патаму шта я пытаюсь всех спасти.",А Рите снятся сны в которых меня убивают потому что я пытаюсь всех спасти,RUSpellRU
"Лчше б этот бунт эритроцитов переждать в дубраве люминала,",Лучше б этот бунт эритроцитов переждать в дубраве люминала,RUSpellRU
"У нас всегда достанет сил, чтобы перенести несчастье ближнего.",У нас всегда достанет сил чтобы перенести несчастье ближнего,RUSpellRU
Поффтыкав в аэропорту поехали к билетным кассам где я взял билет на поезд.,Повтыкав в аэропорту поехали к билетным кассам где я взял билет на поезд,RUSpellRU
Компютерная программа для улучшения зрения,Компьютерная программа для улучшения зрения,RUSpellRU
а днем мама снится как будто мы с ней в соре и она мне чтото выговаривает...,а днем мама снится как будто мы с ней в ссоре и она мне что-то выговаривает,RUSpellRU
"Интересно чтобы было, еслиб этот фильм посмотреела бы с Димой...",Интересно что бы было если б этот фильм посмотрела бы с Димой,RUSpellRU
"И вот наступил сладостный момент - я вышла из дома в шесть вечера, против планируемого без пятнадцати, и поспешила на встречу с Надей.",И вот наступил сладостный момент я вышла из дома в шесть вечера против планируемого без пятнадцати и поспешила на встречу с Надей,RUSpellRU
Мошный лазер - в нерабочем состоянии - 350 кредиток.,Мощный лазер в нерабочем состоянии 350 кредиток,RUSpellRU
"Так вот я боюсь подержанную, потомучто меня провести как нефиг делать.",Так вот я боюсь подержанную потому что меня провести как нефиг делать,RUSpellRU
хороше когда каждый год как первый...,хорошо когда каждый год как первый,RUSpellRU
"Особенно мне интересны Капулетти, включая и прислужницу Кормилицу, и молодеж которая будет учавствовать в поединках.",Особенно мне интересны Капулетти включая и прислужницу Кормилицу и молодежь которая будет участвовать в поединках,RUSpellRU
"седня должен был на работу притащиться программист и вешать всем оплеух, причем бОльшую часть на меня!",сегодня должен был на работу притащиться программист и навешать всем оплеух причем большую часть на меня,RUSpellRU
"Отвественность за реализацию, естественно, лежит на контрактных пивоварах.",Ответственность за реализацию естественно лежит на контрактных пивоварах,RUSpellRU
"В принципе, я к этому готова.",В принципе я к этому готова,RUSpellRU
"Ограничте время между кликами, что-ли...",Ограничьте время между кликами что ли,RUSpellRU
"Кили открыл, что недоступные наблюдению поля - мозговые, гравитационные, магнитные и электрические - состоят из трех потоков",Кили открыл что недоступные наблюдению поля мозговые гравитационные магнитные и электрические состоят из трех потоков,RUSpellRU
"Эстония, эт канешна не Португалия, но 4:0 тоже результат!",Эстония это конечно не Португалия но 4:0 тоже результат,RUSpellRU
"мы понимаем друг друга с полу слова, но диалога никуогда у нас не получаеться...",мы понимаем друг друга с полуслова но диалога никогда у нас не получается,RUSpellRU
"Начальнег зажог павзрослому: всю предудущую неделю ходил покрытый прыщами, а с понедельника слег - ветрянка.",Начальник зажег по-взрослому всю предыдущую неделю ходил покрытый прыщами а с понедельника слег ветрянка,RUSpellRU
"Подсаживаеться женшина - иностранка из Норвегии, она приглашает меня танцевать, оказывается что это место слишком крутое для меня, я загруживаюсь и больше в этот вечер не танцую...",Подсаживается женщина иностранка из Норвегии она приглашает меня танцевать оказывается что это место слишком крутое для меня я загруживаюсь и больше в этот вечер не танцую,RUSpellRU
"В мире, на самом деле, крайне мало действительно по-настоящему значимого.",В мире на самом деле крайне мало действительно по-настоящему значимого,RUSpellRU
